epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.9911,0.82002,2.85053,1.27883,0.00675,0.74561,0.28176,0.24347,0.68804,3.436,1.141,0.00017148,0.00017148,0.00017148
2,72.2902,0.63523,1.49176,1.14822,0.00649,0.69298,0.26058,0.16993,0.99258,3.52331,1.348,0.000352197,0.000352197,0.000352197
3,107.328,0.65494,1.24455,1.15688,0.79828,0.17934,0.1486,0.03872,1.93589,3.39073,2.33272,0.00052766,0.00052766,0.00052766
4,142.507,0.7177,1.20539,1.17868,0.93345,0.23446,0.39335,0.18294,1.71795,3.21941,1.95785,0.000697868,0.000697868,0.000697868
5,177.431,0.65231,1.07021,1.13886,0.94059,0.31426,0.52071,0.4127,0.82567,1.99104,1.20589,0.000862822,0.000862822,0.000862822
6,212.471,0.68677,1.04275,1.16495,0.84353,0.44444,0.67407,0.44468,0.79305,1.81754,1.18637,0.00102252,0.00102252,0.00102252
7,247.301,0.73095,1.06806,1.17268,0.86534,0.50747,0.77483,0.51412,0.85876,1.652,1.27822,0.00117697,0.00117697,0.00117697
8,282.321,0.65211,0.96461,1.13383,0.55612,0.58973,0.67032,0.47916,0.79214,1.62449,1.18679,0.00128753,0.00128753,0.00128753
9,317.107,0.66667,0.94531,1.1234,0.59406,0.73015,0.67725,0.42433,0.91704,1.7366,1.28162,0.00126732,0.00126732,0.00126732
10,351.676,0.67807,0.91815,1.15139,0.96167,0.52437,0.74255,0.46625,0.88126,1.7204,1.22833,0.00124711,0.00124711,0.00124711
11,386.292,0.6737,0.8912,1.13961,0.86141,0.87075,0.90238,0.53107,0.94255,1.51465,1.3075,0.0012269,0.0012269,0.0012269
12,421.825,0.69378,0.89057,1.16684,0.77323,0.78206,0.89719,0.59644,0.81822,1.46995,1.1769,0.00120669,0.00120669,0.00120669
13,456.626,0.68715,0.87889,1.15943,0.58615,0.73392,0.68321,0.46498,0.74194,1.40322,1.13851,0.00118648,0.00118648,0.00118648
14,491.542,0.61749,0.78937,1.10729,0.73187,0.84836,0.84297,0.53433,0.76382,1.31458,1.13947,0.00116627,0.00116627,0.00116627
15,527.083,0.67647,0.79388,1.15214,0.87053,0.82342,0.89528,0.57939,0.78936,1.18354,1.14107,0.00114606,0.00114606,0.00114606
16,563.031,0.65659,0.7945,1.1163,0.94124,0.77047,0.86811,0.5964,0.77159,1.16725,1.18365,0.00112585,0.00112585,0.00112585
17,597.521,0.6328,0.74262,1.10763,0.64611,0.92398,0.85108,0.58887,0.76391,1.25396,1.21138,0.00110564,0.00110564,0.00110564
18,631.864,0.59756,0.70179,1.09392,0.63151,0.64775,0.72837,0.51579,0.85756,1.34655,1.21712,0.00108543,0.00108543,0.00108543
19,667.352,0.6373,0.7648,1.11544,0.83617,0.81236,0.82302,0.59978,0.77701,1.30036,1.15717,0.00106522,0.00106522,0.00106522
20,702.514,0.628,0.7154,1.10469,0.95504,0.78602,0.90437,0.54201,0.90413,1.24397,1.27503,0.00104501,0.00104501,0.00104501
21,738.284,0.61826,0.67493,1.09981,0.80928,0.75428,0.86896,0.50061,0.93593,1.59163,1.30275,0.0010248,0.0010248,0.0010248
22,773.873,0.62042,0.70685,1.1197,0.82076,0.75146,0.85416,0.56869,0.79193,1.04356,1.17678,0.00100459,0.00100459,0.00100459
23,808.54,0.632,0.67812,1.13002,0.67265,0.90058,0.79852,0.51854,0.80711,1.06565,1.16331,0.000984377,0.000984377,0.000984377
24,843.196,0.64521,0.69633,1.11549,0.79342,0.76224,0.784,0.56184,0.73684,0.90986,1.11804,0.000964167,0.000964167,0.000964167
25,877.989,0.61044,0.67687,1.08503,0.81556,0.76038,0.78065,0.56922,0.73183,0.93786,1.13577,0.000943957,0.000943957,0.000943957
26,912.735,0.54975,0.57596,1.07198,0.90803,0.64337,0.77173,0.59743,0.70388,0.92177,1.08152,0.000923746,0.000923746,0.000923746
27,947.349,0.60514,0.64647,1.115,0.87836,0.6358,0.78461,0.58751,0.74451,0.97954,1.10674,0.000903536,0.000903536,0.000903536
28,981.977,0.56441,0.59032,1.0856,0.92976,0.73617,0.81936,0.5892,0.73591,0.87962,1.1618,0.000883326,0.000883326,0.000883326
29,1016.92,0.6019,0.65652,1.09474,0.91218,0.81971,0.89167,0.63354,0.72144,0.88966,1.15134,0.000863116,0.000863116,0.000863116
30,1051.36,0.57994,0.60391,1.08221,0.91234,0.6107,0.76531,0.5436,0.77454,1.69884,1.20349,0.000842906,0.000842906,0.000842906
31,1086.03,0.59659,0.62281,1.09382,0.93466,0.61411,0.78261,0.56022,0.77767,1.17479,1.16036,0.000822696,0.000822696,0.000822696
32,1120.78,0.56638,0.61776,1.07265,0.80043,0.73792,0.83297,0.60211,0.72415,0.80624,1.13886,0.000802486,0.000802486,0.000802486
33,1155.31,0.53726,0.5306,1.05686,0.76363,0.84257,0.85831,0.61596,0.70205,0.81955,1.11788,0.000782275,0.000782275,0.000782275
34,1189.71,0.58475,0.583,1.07763,0.94995,0.83007,0.90512,0.64079,0.72974,0.81075,1.16734,0.000762065,0.000762065,0.000762065
35,1224,0.54841,0.55869,1.08397,0.87542,0.90877,0.91599,0.61714,0.71197,0.81443,1.13986,0.000741855,0.000741855,0.000741855
36,1258.54,0.5406,0.54353,1.05805,0.95442,0.77879,0.88563,0.59299,0.69157,0.84475,1.10201,0.000721645,0.000721645,0.000721645
37,1293,0.51448,0.52789,1.05034,0.96732,0.77496,0.89643,0.63239,0.70608,0.85171,1.10527,0.000701435,0.000701435,0.000701435
38,1327.49,0.54067,0.54763,1.08637,0.95465,0.79792,0.91146,0.62382,0.74611,0.88489,1.11197,0.000681225,0.000681225,0.000681225
39,1361.87,0.58866,0.57447,1.08379,0.76222,0.82293,0.76185,0.54665,0.83978,1.05282,1.19264,0.000661015,0.000661015,0.000661015
40,1396.66,0.51457,0.53038,1.03992,0.92679,0.67997,0.81681,0.57565,0.72569,0.80334,1.10973,0.000640804,0.000640804,0.000640804
41,1431.4,0.51202,0.51513,1.04104,0.85205,0.70589,0.80073,0.57416,0.79148,0.80926,1.15796,0.000620594,0.000620594,0.000620594
42,1466.05,0.50289,0.51508,1.06564,0.86373,0.7375,0.81277,0.6082,0.69052,0.69367,1.10351,0.000600384,0.000600384,0.000600384
43,1500.64,0.49921,0.5111,1.06595,0.83882,0.86404,0.87909,0.58812,0.65864,0.73601,1.07999,0.000580174,0.000580174,0.000580174
44,1535.44,0.5353,0.48804,1.05305,0.67793,0.89472,0.86189,0.57975,0.67608,0.78061,1.08765,0.000559964,0.000559964,0.000559964
45,1569.71,0.5232,0.52706,1.06405,0.92897,0.75195,0.8749,0.61498,0.65901,0.79807,1.11491,0.000539754,0.000539754,0.000539754
46,1604.32,0.52341,0.48309,1.07531,0.93408,0.71637,0.84252,0.65834,0.64244,0.8619,1.07116,0.000519544,0.000519544,0.000519544
47,1638.68,0.51363,0.52773,1.03618,0.80994,0.72222,0.79721,0.62527,0.64578,0.82674,1.04274,0.000499333,0.000499333,0.000499333
48,1673.5,0.49155,0.50227,1.04044,0.82744,0.73081,0.81207,0.61891,0.6503,0.74262,1.0663,0.000479123,0.000479123,0.000479123
49,1708.51,0.48685,0.53181,1.04754,0.93905,0.73194,0.86075,0.64035,0.66268,0.73611,1.07664,0.000458913,0.000458913,0.000458913
50,1743.53,0.4829,0.49732,1.0429,0.94315,0.73477,0.86291,0.64925,0.64405,0.74229,1.05342,0.000438703,0.000438703,0.000438703
51,1778.32,0.47939,0.44335,1.043,0.94148,0.84541,0.91841,0.66578,0.63746,0.69409,1.05613,0.000418493,0.000418493,0.000418493
52,1812.81,0.50524,0.48528,1.05439,0.97317,0.80135,0.91426,0.65906,0.65703,0.66318,1.04626,0.000398283,0.000398283,0.000398283
53,1847.53,0.48502,0.4627,1.03311,0.93695,0.82493,0.90985,0.66183,0.6508,0.6605,1.05162,0.000378073,0.000378073,0.000378073
54,1882.26,0.45696,0.4533,1.02546,0.93362,0.79895,0.90647,0.65092,0.66616,0.66869,1.0654,0.000357862,0.000357862,0.000357862
55,1916.89,0.44897,0.42558,1.03167,0.96397,0.8114,0.90087,0.64817,0.65608,0.71992,1.07782,0.000337652,0.000337652,0.000337652
56,1951.71,0.46566,0.41879,1.02614,0.9595,0.81725,0.87588,0.63321,0.66476,0.79474,1.08785,0.000317442,0.000317442,0.000317442
57,1986.22,0.45884,0.4644,1.02389,0.95014,0.80899,0.86493,0.62913,0.6363,0.78243,1.06537,0.000297232,0.000297232,0.000297232
58,2021.7,0.46464,0.40982,1.0261,0.83587,0.83375,0.85233,0.64214,0.61475,0.72864,1.08332,0.000277022,0.000277022,0.000277022
59,2056.44,0.45904,0.42473,1.03002,0.9175,0.81783,0.87059,0.64685,0.62939,0.76245,1.07924,0.000256812,0.000256812,0.000256812
60,2092.03,0.43891,0.40695,1.01045,0.91044,0.81203,0.87625,0.65387,0.66242,0.80431,1.08581,0.000236602,0.000236602,0.000236602
61,2126.86,0.44784,0.7116,1.04337,0.93495,0.81052,0.88158,0.66814,0.65036,0.77711,1.08968,0.000216391,0.000216391,0.000216391
62,2161.41,0.42282,0.49803,1.0176,0.8388,0.8231,0.86021,0.64263,0.6597,0.76262,1.11505,0.000196181,0.000196181,0.000196181
63,2196.1,0.37827,0.47446,1.00571,0.82098,0.83125,0.84527,0.63429,0.68764,0.82713,1.12764,0.000175971,0.000175971,0.000175971
64,2230.31,0.4019,0.46821,1.01143,0.91534,0.73977,0.83221,0.63161,0.66244,0.75446,1.13626,0.000155761,0.000155761,0.000155761
65,2265.27,0.37997,0.4584,0.98282,0.77119,0.83557,0.83841,0.62184,0.66896,0.79948,1.13069,0.000135551,0.000135551,0.000135551
66,2299.05,0.38608,0.43483,1.01791,0.8968,0.79691,0.85511,0.62574,0.68086,0.81216,1.13696,0.000115341,0.000115341,0.000115341
67,2333.31,0.36218,0.42036,0.97401,0.90624,0.79909,0.86702,0.6278,0.67878,0.80117,1.13755,9.51306e-05,9.51306e-05,9.51306e-05
68,2367.06,0.37439,0.44032,1.00136,0.91567,0.80276,0.8683,0.63984,0.66508,0.79102,1.14796,7.49204e-05,7.49204e-05,7.49204e-05
69,2400.98,0.36967,0.42537,0.9903,0.91204,0.79174,0.87063,0.63791,0.66279,0.78537,1.15127,5.47103e-05,5.47103e-05,5.47103e-05
70,2435.8,0.34691,0.41002,0.97142,0.90976,0.79721,0.8677,0.63644,0.65938,0.77824,1.14891,3.45001e-05,3.45001e-05,3.45001e-05
